Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.27     0.00   912561     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      1.27     0.00   912552     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      1.27     0.00   912528     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.27     0.00   888711     0.00     0.00  Operation* std::__addressof<Operation>(Operation&)
  0.00      1.27     0.00   838095     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.27     0.00   826257     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      1.27     0.00   724000     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_get_Node_allocator()
  0.00      1.27     0.00   586670     0.00     0.00  std::_Rb_tree_iterator<std::pair<float, Operation> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      1.27     0.00   540088     0.00     0.00  main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}& std::forward<main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}&>(std::remove_reference<main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}&>::type&)
  0.00      1.27     0.00   494286     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00      1.27     0.00   472474     0.00     0.00  Operation&& std::forward<Operation>(std::remove_reference<Operation>::type&)
  0.00      1.27     0.00   467699     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
  0.00      1.27     0.00   467668     0.00     0.00  Operation& std::forward<Operation&>(std::remove_reference<Operation&>::type&)
  0.00      1.27     0.00   456291     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      1.27     0.00   456291     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.27     0.00   456291     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.27     0.00   456291     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.27     0.00   456291     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.27     0.00   456281     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      1.27     0.00   456276     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      1.27     0.00   456276     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      1.27     0.00   456276     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
